"id","serie","number","title"
"3850","Reclame Uitgaven Kruidvat ","0"," Smakelijke Schranspartijen Van Gijs Gans"
"3851","Karl May ","16"," De Woudlopers"
"3852","Donald Duck ","1968","38"
"3853","Reclame Uitgaven Shell ","0"," Groot Shell Stripboek"
"3854","Robbedoes Weekblad ","1964","1369"
"3855","Lucky Luke "," A04 "," Jesse James"
"3856","Kuifje Weekblad ","1978","31"
"3857","Tina ","1973","49"
"3858","De Verbijsterende Hulk ","27"," En Shield Zal Volgen!"
"3859","Laurel En Hardy ","104"," Ollie Houdt Grote Schoonmaak!"
"3860","Piloot Storm "," V35 "," De Zormzoekers Van Naugan"
"3861","Suske En Wiske Weekblad ","1996","37"
"3862","Kiekeboe ","115"," Het Boemerangeffect"
"3863","Shock ","42"," Hittegolf!"
"3864","Pep ","1975","33"
"3865","Gastronomisch Bommelboek ","1"," Gastronomisch Bommelboek"
"3866","Suske En Wiske Vakantieboek ","7"," Vakantieboek 7"
"3867","Tweede Wereldoorlog In Strip ","6"," Vliegende Forten"
"3868","Tina ","1972","40"
"3869","Prins Valiant ","9"," Verraad In Thule"
"3870","Donald Duck ","1965","1"
"3871","Rooie Oortjes Magazine ","14"," Deel 14"
"3872","Robbedoes Weekblad ","1996","3020"
"3873","De Lone Ranger "," A03 "," De Heilige Grot"
"3874","Jacula ","6"," Simfonie Voor Satan + Rode Rozen Op Het Graf"
"3875","Robbedoes Weekblad ","1949","499"
"3876","Elfquest ","15"," Aanslag In De Bergen"
"3877","Tibor, Zoon Van Het Oerwoud ","133"," Verborgen Tussen De Struiken"
"3878","Robbedoes Weekblad ","1952","632"
"3879","Samson & Gert Krant ","33"," Nummer 033"
"3880","Superman (Baldakijn) "," EX02 "," Het Machtsevenwicht"
"3881","Boes "," A01 "," Een Harde Noot"
"3882","Arno ","1"," De Rode Schoppen"
"3883","Sukia ","15"," Obscene Foto's"
"3884","Kit Carson ","26"," De Strijd Om De Buffelkreek"
"3885","Kuifje Weekblad ","1977","50"
"3886","Donald Duck ","1991","12"
"3887","Donald Duck Specials ","15"," Feest In Duckstad"
"3888","Lasso ","81"," De Dodelijke Slag"
"3889","Sjors ","1962","46"
"3890","Suske En Wiske HQ ","253"," Prachtige Pjotr"
"3891","Biggles "," V06 "," De Gebroeders Wright"
"3892","Aquaman ","2527"," Er Staat Een Prijs Op Aquaman's Hoofd (2)"
"3893","Sukia ","5"," De Blauwe Sauna"
"3894","Robbedoes Weekblad ","1955","801"
"3895","Donald Duck ","1995","25"
"3896","Donald Duck ","1971","21"
"3897","Sjors ","1962","28"
"3898","Top Illustrated Classics ","55"," De Zwarte Tulp"
"3899","Pol "," P27 "," Pol Op De Rivier"
"3900","Losstaande Albums Van Milo Manara ","15"," Revolutie"
"3901","Suske En Wiske ","321"," Het Ijzeren Duel"
"3902","Yogi Beer En De Flintstones ","18"," De Wilde Man Van Steendorp"
"3903","De Avonturen Van Kapitein Rob ","59"," Incident In Punta Reposo"
"3904","Victoria "," B263 "," De Laatste Gladiator"
"3905","Sigurd "," A49 "," Strijd Zonder Genade"
"3906","Death Note ","3"," Wedren"
"3907","Donald Duck ","1994","46"
"3908","Franka ","16"," Succes Verzekerd"
"3909","Close Encounters Of The Third Kind ","1"," Close Encounters Of The Third Kind"
"3910","Penny ","1987","10"
"3911","Cristal ","3"," Paspoort Voor De Angst"
"3912","Robbedoes Weekblad ","2002","3335"
"3913","Donald Duck ","1957","15"
"3914","De Duivel Der Zeven Zee�n ","2"," Deel 02"
"3915","Donald Duck ","2006","3"
"3916","Doctor Solar ","14"," Tegen Aardssatan Nuro!"
"3917","Pep ","1972","52"
"3918","Kuifje Weekblad ","1957","28"
"3919","Rik Ringers ","4"," De Schaduw Van Kameleon"
"3920","Robbedoes Weekblad ","1988","2627"
"3921","De Schorpioen ","7"," In De Naam Van De Vader"
"3922","Vrouwen In 't Wit ","35"," Pretbedervers"
"3923","Sjors ","1958","19"
"3924","Maghella ","58"," Een Prinselijk Hapje"
"3925","Kari Lente ","1"," De Wolf Van Boseind (1965)"
"3926","Robbedoes Weekblad ","1981","2272"
"3927","Paparazzi ","3"," Op Gespannen Voet"
"3928","Victoria ","37"," Paradijs En Hel"
"3929","De Wondersloffen Van Sjakie ","28"," Voetbalkoorts"
"3930","Robbedoes Weekblad ","1975","1959"
"3931","De Wrekers ","22"," Aan Alles Komt Een Einde (Andere scan)"
"3932","Filmstrips ","54"," Cars (Andere scan)"
"3933","Mooie Navels ","4"," Duel Op Stiletto's"
"3934","De Kiem Van De Waanzin ","2"," Het Grote Sieraad"
"3935","Conan De Barbaar ","1"," De Demonen"
"3936","Buck Danny ","9"," De Petroleumgangers"
"3937","Diabolik ","18"," Moorden Uit Passie"
"3938","Hartendief ","1"," Prometheus"
"3939","Victoria "," B270 "," Doel 'Berlijn'"
"3940","Jong Geluk Classics Albums ","4"," Jong Geluk 4"
"3941","Zonneland ","1956"," 42 (Incompleet)"
"3942","Sheriff ","118"," Wraak Is Zoet"
"3943","MAD ","175"," Nummer 175"
"3944","Penthouse Comics Magazine ","35"," Deel 35"
"3945","Lasso ","226"," Jeff Milton In Actie"
"3946","Kuifje Weekblad ","1954","39"
"3947","Akim Held Van De Jungle "," C145 "," Jacht Of Dood"
"3948","Lucifera ","123"," De Betoverde Ijsberg"
"3949","Wollodr�n ","1"," De Ochtend Van De As 1 Van 2"
"3950","Bruno Brazil ","10"," Dossier Bruno Brazil"
"3951","Pep ","1971","10"
"3952","Stripkoerier ","1977","9"
"3953","Kuifje Weekblad ","1958","33"
"3954","Kiekeboe ","64"," De Onweerstaanbare Man"
"3955","De Wondersloffen Van Sjakie ","16"," De Ommekeer"
"3956","Tweety En Silvester ","7"," Een Mistig Dagje"
"3957","Durandal ","3"," Het Mark Bretagne III"
"3958","Jacobus En Corneel ","1"," Aannemers Van Alle Werk"
"3959","Kuifje "," G04 "," De Klare Lijn"
"3960","Eppo ","2010"," 24a (Kerstspecial)"
"3961","Filmstrips ","45"," Piratenplaneet De Schat Van Kapitein Flint"
"3962","Robbedoes Weekblad ","1993","2888"
"3963","Sheriff Teddy ","17"," Het Laatste Offer"
"3964","Mickey Maandblad ","1986","7"
"3965","Kuifje Weekblad ","1961","47"
"3966","Peter Parker, De Spectaculaire Spiderman ","43"," 'Stof Zijt Gij, En Tot Stof Zult Gij Wederkeren"
"3967","Altor ","6"," De Wegen Van De Tijd"
"3968","De Barbaren ","5"," In De Naam Van De Vikingen"
"3969","Kuifje Weekblad ","1971","51"
"3970","Stripschrift ","21"," Nummer 021"
"3971","Robbedoes Weekblad ","1953","708"
"3972","De Blauwbloezen ","3"," Voor 1500 Dollar Extra"
"3973","Roodoog "," A07 "," Ziek Zijn En Beter Worden"
"3974","Superman Classics ","61"," De Luthor Die Niemand Kent!"
"3975","Tibor, Zoon Van Het Oerwoud "," A56 "," Op Weg Naar Het Onbekende"
"3976","Mor�a ","1"," Het Bloed Der Engelen"
"3977","Suske En Wiske Weekblad ","1996","42"
"3978","Vasco ","22"," De Witte Dood"
"3979","Auteur Reeks ","25"," De Underzone"
"3980","Het Edele Drietal ","2"," Wat Een Blunderbende"
"3981","Pep ","1967","27"
"3982","Tina Topstrip "," D07 "," Dubbeldik Superalbum 07"
"3983","Stichting Eureducation ","10"," Vechten Voor Vrede"
"3984","Griezel Classics ","21"," De Vloek"
"3985","Eppo ","1980","17"
"3986","Mask ","5"," Een Nachtmerrie In Afrika"
"3987","Druuna ","3"," Cr�atura"
"3988","Outlaw Kid ","4"," Kid Houdt Tot Het Bittere Einde Stand!"
"3989","Samson & Gert Krant ","21"," Nummer 021"
"3990","Scooby Doo "," A16 "," Schuimscooby"
"3991","Donald Duck ","1971","13"
"3992","Geheime Oorlogen II ","1"," Wie Is De Beyonder"
"3993","Donald Duck ","1999","35"
"3994","Robbedoes Weekblad ","1951","613"
"3995","Stripschrift ","249"," Nummer 249"
"3996","Film Classics ","3"," Jacht Op De Bismark"
"3997","Donald Duck Vakantieboeken ","26"," Vakantieboek 2003"
"3998","Strijd Classics ","11158"," De Rivalen"
"3999","Rawhide Kid ","2"," Kans Op Gratie"
"4000","Tom Poes (Illegale Uitgaven) ","0"," Tom Poes En De Kwanten"
"4001","De Jonge Woudlopers Vakantieboeken ","2"," Vakantieboek 2015"
"4002","Kiekeboe ","123"," Vluchtmisdrijf"
"4003","Sjors En Sjimmie Stripblad ","1992","18"
"4004","TV2000 ","1969","47"
"4005","Nash ","4"," Het Witte Broederschap"
"4006","Alex ","26"," De Iberi�r"
"4007","Tweety En Silvester ","6"," De Nieuwe Vogelkooi"
"4008","De Schilderleraar ","3"," Eerste Concert"
"4009","Kuifje Weekblad ","1947"," 23 (ic)"
"4010","Robbedoes Weekblad ","1999","3213"
"4011","Kuifje Weekblad ","1956","40"
"4012","Luitenant Blueberry ","8"," De Man Met De Ijzeren Vuist"
"4013","Rutger Van Gemert ","1"," De Geschiedenis Van Rutger Van Gemert"
"4014","Spirit Of The Tao ","1"," Deel 01"
"4015","Rooie Oortjes Cartoon Album ","2"," Deel 02"
"4016","Prins Valiant ","45"," De Verschrikkelijke Vloot"
"4017","Vinci ","1"," De Gebroken Engel"
"4018","Niky ","3"," Olie On The Rocks"
"4019","Donald Duck ","1992","4"
"4020","Robbedoes Weekblad ","1982","2284"
"4021","Hulk Liefhebbers Serie ","2"," Rennen...! Er Komt Een Monster Aan!"
"4022","Stripschrift ","74"," Nummer 074"
"4023","F.C. De Kampioenen ","3"," Buziness Is Buziness"
"4024","Disneyland ","1972","12"
"4025","Victoria ","412"," Zijn Beste Truc"
"4026","Eric De Noorman "," A15 "," Eric In Het Hemelse Rijk"
"4027","Robbedoes Weekblad ","1944","243"
"4028","Jacula ","21"," Wij, De Vampieren + Het Is Middernacht, Dokter Verdier"
"4029","Donald Duck ","2006","13"
"4030","De Avonturen Van Donald Duck ","15"," De Grappigste Avonturen Van Donald Duck Nr 15"
"4031","Bram Jager En Zijn Buur ","14"," De Ford T Maakt Rare Sprongen"
"4032","Donjon Avondschemer ","101"," Het Drakenkerkhof"
"4033","Losstaande Albums Van Derib ","1"," Go West"
"4034","Goldrake ","7"," De Moord Met Je! + De Clown"
"4035","New Teen Titans ","15"," Het Geheim Van Jerricho"
"4036","Stripschrift ","170"," Nummer 170"
"4037","Kuifje Weekblad ","1960"," 34 (ic)"
"4038","Gummi ","6"," Deel 06"
"4039","Lokje ","8"," Hartenbreker"
"4040","Parker & Badger ","1"," Een Duo Uit Duizend"
"4041","Alex "," A07 "," De Reizen Van Alex Egypte 1"
"4042","Batman Classics ","5"," De Prooi Van Het Slachtoffer"
"4043","De Wrekers ","17"," Het Sinistere Eskader"
"4044","Superman Classics ","71"," De Man Die Werd Begraven Op Pagina 64"
"4045","Mega Mindy ","3"," De Waterman"
"4046","Collectie Lambada ","9"," Sex In Itali�, Deel 02"
"4047","Akim Held Van De Jungle ","43"," Onderbroken Verbinding"
"4048","Robbedoes Weekblad ","1968","1597"
"4049","Tibor, Zoon Van Het Oerwoud "," A35 "," Oproer In Het Oerwoud"
"4050","Robbedoes Weekblad ","1964","1381"
"4051","Playcolt ","5"," Sterven En Laten... Genieten"
"4052","Lasso ","225"," De Genadeloze Gunman"
"4053","Bajonet ","224"," De Dood Op Bezoek"
"4054","Imago Mundi ","8"," De Erfenis Van De Jomons"
"4055","Playcolt ","22"," De Bende Van De Bloemen"
"4056","Laurel En Hardy ","166"," 'n Lange Nachtrust! (Mist blz 15 tm 22)"
"4057","Konvooi ","7"," Q.H.I"
"4058","Tex Willer ","90"," De Zwarte Klauw"
"4059","Donald Duck ","1983","4"
"4060","Bakelandt ","5"," De Meester Der Broeders (2)"
"4061","Robbedoes Weekblad ","1945","261"
"4062","Ravian ","0"," De Vierde Dimensie (1983)"
"4063","Looney Tunes Strips "," S04 "," De Hinderlijke Helper"
"4064","Lasso ","219"," Opgejaagd (Andere scan)"
"4065","Donald Duck ","111"," Als Speurneus"
"4066","Disneyland ","1987","10"
"4067","Robbedoes Weekblad ","1968","1599"
"4068","Alex Senator ","1"," De Adelaars Van Merula"
"4069","Donald Duck ","1976","34"
"4070","Donald Duck ","2001","49"
"4071","En Daarmee Basta ","3"," Zaterdagavondkoorts"
"4072","Bouwstenen Van Het Heelal ","1"," Over Kwarks, Atoomkernen En Oerknal"
"4073","Robbedoes Weekblad ","1975","1926"
"4074","Donald Duck ","2005","19"
"4075","Met Goofy De Geschiedenis In "," B01 "," Goofy Als Hercules"
"4076","Tina ","1970","19"
"4077","Bakelandt ","6"," Het Beest Van Gits"
"4078","Robbedoes Weekblad ","2000","3265"
"4079","Pinkerton National Detective ","1"," Dossier Jesse James 1875"
"4080","Robbedoes Weekblad ","1976","1996"
"4081","Witsok ","1"," Witsok Neemt Vakantie 1e Deel"
"4082","C�dric ","14"," Liggen, Zei Ik!"
"4083","Robbedoes Weekblad ","1949","490"
"4084","Donald Duck ","1956","17"
"4085","Sophie ","14"," Inspecteur Ceris"
"4086","Suske En Wiske ","84"," De Stemmenrover"
"4087","Comix ","2"," Nr. Twee"
"4088","Robbedoes Weekblad ","1974","1910"
"4089","Flipje Tiel ","42"," De Speeltuin"
"4090","Batman Classics ","64"," Batman In Russische Roulette!"
"4091","Donald Duck Extra "," 2011 06 "," De Tornadotemmer"
"4092","Victoria ","222"," De Rode Duivels"
"4093","Bessy ","62"," De Vallei der Geesten"
"4094","Losstaande Albums Van Jacques Tardi ","19"," Kleine West Coast Blues"
"4095","Robbedoes Weekblad ","1998","3143"
"4096","Robbedoes Weekblad ","1992","2851"
"4097","Penthouse Comics Magazine ","1"," Deel 01"
"4098","Robert En Bertrand ","17"," Avontuur In Moldavie"
"4099","Rani ","3"," Slavin"
"4100","Kuifje Weekblad ","1959","33"
"4101","Conan De Barbaar ","10"," De Schat Van Tranicos"
"4102","Kuifje Weekblad ","1954"," 33 (Andere scan)"
"4103","Robbedoes Weekblad ","1967","1528"
"4104","Stripschrift ","283"," Nummer 283"
"4105","Robbedoes Weekblad ","1960"," 1165 (NL)"
"4106","Het Pelikaan Protocol ","1"," Het Pelikaan Protocol"
"4107","Gen 13 ","19"," Vreemder Dan Fictie + Nieuw Paradigma"
"4108","Sarah & Robin ","5"," Hersenspinsels"
"4109","SjoSji Extra ","1996","10"
"4110","Pep ","1967","52"
"4111","Suske En Wiske Weekblad ","2002","9"
"4112","Lucky Luke ","30"," Calamity Jane"
"4113","Pep ","1973","15"
"4114","Pep ","1966","46"
"4115","Jimmy Brown ","8"," Jimmy Brown Als Diepzeeduiker"
"4116","Donald Duck ","1998","6"
"4117","Robbedoes Weekblad ","1977","2031"
"4118","Wonder Woman ","1"," Het Tweede Leven Van Wonder Woman"
"4119","Sjors En Sjimmie Stripblad ","1994","16"
"4120","Victoria ","272"," Bliksemoorlog"
"4121","Het Is Groen En Het.. ","1"," HELP... De Groenen Komen!"
"4122","Rider On The Storm ","1"," Brussel"
"4123","Lasso ","127"," De Dood Grijpt In"
"4124","Agence Hardy ","1"," Het Verdwenen Parfum"
"4125","De Avonturen Van Pa Pinkelman En Tante Pollewop "," A03 "," De Verdere Avonturen Van Pa Pinkelman En Tante Pollewop"
"4126","Mac Namara ","2"," De Ontsnapte Geest"
"4127","Donald Duck ","1982","50"
"4128","Simon Langarm ","2"," De Laatste Ketting"
"4129","De Vier Verdedigers ","65"," Gedonder In De Ruine"
"4130","De Katamarom ","35"," Het Schuilhol Van Satic"
"4131","Michel Vaillant ","46"," Racing Show"
"4132","Jugurtha ","4"," Het Eiland Van De Opstanding"
"4133","Sjors ","1968","20"
"4134","Vanguard ","1"," De Oogster Van Amarna"
"4135","Losstaande Albums Van Horacio Altuna ","3"," De Laatste Overlevenden"
"4136","Robbedoes En Kwabbernoot "," R02 "," Radar De Robot"
"4137","Buck Danny ","18"," Aanval Op Malakka"
"4138","New Teen Titans ","14"," Dr. Light Is Terug"
"4139","Agent 327 ","0"," De Poodles"
"4140","Robbedoes Weekblad ","1999","3206"
"4141","Top Illustrated Classics ","53"," Rob Roy"
"4142","De Avonturen Van Nero En Co ","60"," Het Theepotje Des Konings"
"4143","Lucky Luke "," X02 "," De Sex Avonturen Van Lucky Luke"
"4144","Sjors En Sjimmie Stripblad ","1993","4"
"4145","Tarzan (Classics) ","87"," Tarzan En De Stad Der Stilte"
"4146","Suske En Wiske ","72"," Jeromba De Griek"
"4147","Kuifje Weekblad ","1993","4"
"4148","Tarzan (Classics) ","13"," Het Dal Der Monsters"
"4149","Hessa ","27"," Hessa's Zwarte Nachtmerrie"
"4150","Donald Duck ","1968","40"
"4151","Zoeloeland ","10"," Young Mister Dundee"
"4152","Sjors ","1955","5"
"4153","Bajonet ","235"," Spionnen In De Wolken"
"4154","Kuifje Weekblad ","1981","5"
"4155","MAD ","111"," Nr 111"
"4156","Pep ","1967","36"
"4157","Raadsels Rond Het Palmenhuis ","1"," Raadsels Rond Het Palmenhuis"
"4158","Kuifje Weekblad ","1966","8"
"4159","Oekaze ","3"," Wapenbroeders"
"4160","Sjors ","1966","25"
"4161","Jolige Jungle ","1"," De Avonturen Van Tijger Joe"
"4162","Tina ","1974","16"
"4163","Robbedoes Weekblad ","1949","465"
"4164","Tom Poes (Oberon) ","24"," Tom Poes En De Blaasgeest (Rip)"
"4165","Pantser ","150"," Held Of Dwaas"
"4166","Zwarte Reeks ","76"," Oorlog En Sex"
"4167","Laat Maar Zitten "," 0xx "," Vara TV Magazine"
"4168","Donald Duck Extra "," 2004 07 "," Het Verzonken Goud"
"4169","Piloot Storm "," V34 "," Veteraan In Actie"
"4170","Akim Held Van De Jungle ","1"," De Jongen Uit De Rimboe"
"4171","Agent 327 "," S08 "," Wie Zijn B.I.B.S. Brandt"
"4172","Robbedoes Weekblad ","1968","1594"
"4173","Westfront ","1"," Berlijn"
"4174","Donald Duck Extra "," 1982 05 "," Stripgoed 05"
"4175","Sjors ","1954","3"
"4176","Robert En Bertrand ","26"," De Zwarte Kat"
"4177","De Rode Ridder (Kleur) ","15"," De Zwarte Wolvin"
"4178","Jean Antoine Uitgaven ","2"," Verboden Genietingen"
"4179","Anita ","1979","24"
"4180","Losstaande Albums Van Pascal Rabat� ","1"," Een Tweede Jeugd"
"4181","Uur U ","3"," Rode September (Andere scan)"
"4182","Robbedoes Weekblad ","1984","2391"
"4183","Missouri ","2"," De Stormvogel"
"4184","Douwe Dabbert ","21"," Het Gemaskerde Opperhoofd"
"4185","Robbedoes Weekblad ","1964","1342"
"4186","Victoria ","413"," De Zelfoverwinning"
"4187","De Vier Verdedigers ","59"," De Komst Van Het Opperbrein!"
"4188","Akim Held Van De Jungle "," C153 "," Een Geheimzinnige Ontmoeting"
"4189","Spaghetti ","6"," Spaghetti Op Tournee + Dubbelleven Van Prosjoetto"
"4190","Donald Duck ","1980","13"
"4191","Horatio Altuna ","0"," Kwestie Van Smaak"
"4192","Donald Duck ","2002","8"
"4193","Simon Van De Rivier ","5"," City N.W. Nr. 3"
"4194","Kuifje Weekblad ","1982","28"
"4195","Korak De Zoon Van Tarzan ","87"," Wraak Van Een Dode! + De Schat Van Dungogo! (Mist blz 15 tm 18)"
"4196","Wereld In Beeld ","11"," Jungle (Mist blz 8, 26 & 31)"
"4197","Strijd Classics ","11070"," Zij Kwamen Om Te Doden"
"4198","Conny "," A05 "," Conny 5"
"4199","Avonturen Van Bim ","3"," Een Ballontocht Naar De Middeleeuwen"
"4200","Donald Duck ","1956","40"
"4201","Jerry Spring ","21"," Goud In Rio Santana"
"4202","Donald Duck Extra "," 1991 05 "," De Gouden Stad"
"4203","Kinky & Cosy ","1"," Is Het Nog Ver"
"4204","Suske En Wiske ","307"," De Rillende Rots"
"4205","Popeye "," F67 "," Popeye En De Woestijnpiraten"
"4206","Alex ","8"," Het Etruskische Graf"
"4207","Collectie Lambada ","3"," Verleidingstechnieken"
"4208","Claudia Br�cken ","3"," 5 V��r 12"
"4209","Robbedoes Weekblad ","1998","3159"
"4210","Het Land Van Langvergeten ","5"," Ariadne"
"4211","Assassin's Creed ","3"," The Chain Deel 2A"
"4212","De Rode Ridder (Kleur) ","13"," De Vuurgeest"
"4213","Harald De Viking ","4"," De Erfenis Van Sigurd"
"4214","Suske En Wiske HQ ","243"," De Averechtse Aap"
"4215","Kogaratsu ","4"," De Rug Van De Tijger"
"4216","Pep ","1967","28"
"4217","Victoria ","69"," De Genie Grijpt In"
"4218","Tibor, Zoon Van Het Oerwoud "," A19 "," In De Geestenstad"
"4219","Donald Duck ","1994","7"
"4220","Dragger ","1"," De Zandgravers"
"4221","Thunderbirds "," B04 "," Operatie P"
"4222","Johnny Goodbye ","8"," De Peetmoeder & De Dertiende Verdieping"
"4223","Zwarte Reeks ","108"," Nagarya Deel 2"
"4224","Zonneland ","1956","20"
"4225","Garage Isidoor ","5"," Monteur In Fa Majeur"
"4226","Sjors ","1956","52"
"4227","Top Illustrated Classics ","11"," De Eerlijke Muiters"
"4228","Falk ","8"," Het Doodsbericht (1964)"
"4229","Eikels ","3"," Formidabel Gestoord!!"
"4230","Donald Duck ","2014","10"
"4231","H�gar "," D14 "," De Veertiende Dikke H�gar"
"4232","Losstaande Albums Van Piet Kroon ","1"," Daar Komen De Russen (Kleur)"
"4233","Donald Duck ","1959","24"
"4234","Lex Brand ","14"," Dynamiet"
"4235","Shane ","3"," Schijngestalten"
"4236","Marvel Superhelden ","37"," Daredevil"
"4237","Donald Duck ","1969","43"
"4238","Suske En Wiske ","225"," De Goalgetter"
"4239","Tom Poes Krantenstrips ","137"," Tom Poes En De Ombrenger"
"4240","Tom Poes Krantenstrips ","111"," Tom Poes En De Pasmunt"
"4241","Tarzan (Metropolis) "," A23 "," De Militaire Patrouille"
"4242","Eppo ","1980","4"
"4243","Robbedoes Weekblad ","1972","1802"
"4244","Zendelingen Strips ","3"," Helden In Het Oerwoud"
"4245","Eppo ","1984","20"
"4246","Stunt ","52"," De 24 Uur Van De Angst"
"4247","Suske En Wiske ","257"," De Rebelse Reinaert"
"4248","Rataplan ","12"," Blunders Van Rataplan 4"
"4249","Lokje ","14"," Lokje Laat Ze Een Poepje Ruiken"
"4250","Donald Duck ","2001","25"
"4251","TV2000 ","1967","37"
"4252","Donald Duck ","2001","39"
"4253","Wild West (Classics) ","9"," Beter Ten Halve Gekeerd"
"4254","Kartoen Erotiekreeks ","8"," Bianca's Reizen"
"4255","Suske En Wiske Weekblad ","1999","33"
"4256","Buddy Longway ","16"," De Laatste Afspraak"
"4257","Zwarte Reeks ","123"," Lady Welch"
"4258","Eppo ","1985","25"
"4259","De Familie Achterop ","8"," Deel 08"
"4260","Kiekeboe ","103"," Heil Bod"
"4261","Sjors ","1964","10"
"4262","Robbedoes Weekblad ","1957","1027"
"4263","Suske En Wiske Weekblad ","1998","44"
"4264","Eppo ","2011","8"
"4265","Suske En Wiske ","40"," De Zingende Zwammen (1960)"
"4266","Tom Poes Krantenstrips ","165"," Heer Bommel En De Wadem"
"4267","Married With Children "," A01 "," Deel 01"
"4268","Donald Duck ","2012","13"
"4269","Penny ","1985","8"
"4270","De Eeuw Der Schimmen ","1"," De Steen"
"4271","Robbedoes Weekblad ","1984","2399"
